ID,Group_code,Time_text,Time_code,DOB,Age_years,Gender_text,Gender_code,Hispanic_text,Hispanic_code,Hispanic_dummy,Race_text,Race_White,Race_Black,Race_Asian,Race_AIAN,Race_NHPI,Race_Other,Year_text,Year_code,Major_text,Major_code,Familiar_SchoolPsych_text,Familiar_SchoolPsych,Courses_text,Courses,Know_SchoolPsych_text,Know_SchoolPsych,Interest_SchoolPsych_text,Interest_SchoolPsych,Appeal_text,Appeal_MentalHealth,Appeal_Academics,Appeal_Intervention,Appeal_Assessment,Appeal_children,Appeal_Other,Interest_change_text,Interest_change,Info_SchoolPsych_text,Info_SchoolPsych,Familiar_PosPsych_text,Familiar_PosPsych,Practice_PosPsych_text,Practice_PosPsych,Continue_PosPsych_text,Continue_PosPsych,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,PANAS_Pos1,PANAS_Pos2,PANAS_Pos3,PANAS_Pos4,PANAS_Pos5,PANAS_Pos6,PANAS_Pos7,PANAS_Pos8,PANAS_Pos9,PANAS_Pos10,PANAS_Neg1,PANAS_Neg2,PANAS_Neg3,PANAS_Neg4,PANAS_Neg5,PANAS_Neg6,PANAS_Neg7,PANAS_Neg8,PANAS_Neg9,PANAS_Neg10,CSSWQ_1,CSSWQ_2,CSSWQ_3,CSSWQ_4,CSSWQ_5,CSSWQ_6,CSSWQ_7,CSSWQ_8,CSSWQ_9,CSSWQ_10,CSSWQ_11,CSSWQ_12,CSSWQ_13,CSSWQ_14,CSSWQ_15,CSSWQ_16,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,SCS_12,uniqueid
13,0,pre,1,06/12/2005,19.77,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,"Parks, Recreation, and Tourism Management",6,I have never heard of it,1,NA,NA,No,0,Not interested at all,1,"Supporting mental health in school environments, Developing and implementing intervention programs",1,0,1,0,0,0,NA,NA,No,0,I am not familiar at all,1,Rarely,1,NA,NA,6,6,6,6,6,3,4,3,4,3,3,3,3,3,4,3,1,1,1,1,1,1,1,1,1,6,6,4,7,5,6,6,7,5,6,6,7,6,6,5,7,3,4,4,3,4,4,4,3,4,4,4,5,13
13M,0,mid,2,06/12/2005,19.77,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,"Parks, Recreation, and Tourism Management",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,7,4,5,3,4,3,3,4,4,3,2,2,1,1,1,1,1,1,2,1,2,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,2,3,5,4,3,3,4,2,2,3,3,5,13
13P,0,post,3,06/12/2005,19.77,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,"Parks, Recreation, and Tourism Management",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,4,4,3,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,1,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,3,4,4,5,3,3,3,3,5,3,5,5,13
14,0,pre,1,07/16/2006,18.68,genderqueer,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Animal science,7,I know some general information,3,NA,NA,Yes,1,Slightly interested,2,Conducting psychological assessments and evaluations,0,0,0,1,0,0,NA,NA,Yes,1,I have moderate knowledge,3,Ocassionally,2,NA,NA,3,2,3,5,3,3,3,2,3,3,2,4,4,3,3,1,3,2,2,2,2,1,4,3,3,2,3,2,5,2,2,5,5,2,3,4,5,2,2,5,5,4,4,4,4,4,3,3,3,3,2,4,3,14
14M,0,mid,2,07/16/2006,18.68,genderqueer,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Animal science,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,2,2,3,3,3,3,2,4,4,4,4,3,2,2,4,2,2,2,4,4,4,3,3,3,6,3,3,6,6,2,3,3,5,3,2,5,6,2,3,3,2,3,2,3,2,2,2,2,2,14
14P,0,post,3,07/16/2006,18.68,genderqueer,3,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Animal science,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,3,3,4,3,3,2,2,3,2,2,2,2,4,2,2,3,4,3,3,2,2,3,3,3,6,3,3,6,6,3,3,5,6,3,3,6,7,2,2,2,2,3,2,3,2,2,2,2,2,14
15,1,pre,1,12/27/2005,19.23,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Black or African American,0,1,0,0,0,0,Freshmen,1,Bioprocessing Engineering,3,I have heard of it but know very little,2,NA,NA,Yes,1,Slightly interested,2,"Working with children and adolescents, Conducting psychological assessments and evaluations",0,0,0,1,1,0,NA,NA,Yes,1,I have limited knowledge,2,Ocassionally,2,NA,NA,4,7,4,5,7,4,2,5,2,3,3,2,5,4,4,5,4,3,5,1,4,2,5,3,4,4,5,4,7,3,4,5,6,3,6,6,6,5,4,5,5,5,2,3,5,5,4,4,3,4,5,3,4,15
15M,1,mid,2,12/27/2005,19.23,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Black or African American,0,1,0,0,0,0,Freshmen,1,Bioprocessing Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,3,3,2,3,2,4,3,2,4,3,3,2,3,1,4,2,3,2,3,3,4,4,5,5,7,5,5,5,7,6,6,6,6,6,4,5,6,1,5,3,2,4,3,4,1,1,5,1,2,15
15P,1,post,3,12/27/2005,19.23,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Black or African American,0,1,0,0,0,0,Freshmen,1,Bioprocessing Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,4,7,3,2,5,3,3,2,3,4,4,5,4,2,2,4,1,2,3,4,4,4,5,6,5,7,7,7,6,7,7,6,6,7,7,6,6,7,1,4,5,1,5,3,3,1,1,5,1,1,15
16,0,pre,1,07/11/2006,18.69,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Freshmen,1,Computer Science,3,I know some general information,3,NA,NA,No,0,Not interested at all,1,Conducting psychological assessments and evaluations,0,0,0,1,0,0,NA,NA,No,0,I have limited knowledge,2,Rarely,1,NA,NA,4,4,4,5,2,4,4,3,3,4,2,3,4,4,3,3,4,1,2,1,4,2,4,2,2,6,6,6,7,3,5,6,7,6,4,6,7,5,6,6,7,5,2,3,5,4,2,4,5,5,2,5,4,16
16M,0,mid,2,07/11/2006,18.69,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Freshmen,1,Computer Science,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,3,3,3,3,2,3,3,4,4,4,4,2,2,3,3,4,2,4,3,3,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,1,3,4,1,4,4,4,3,2,3,2,3,16
16P,0,post,3,07/11/2006,18.69,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Freshmen,1,Computer Science,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
17,0,pre,1,03/21/2005,20,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,Human Biology,3,I have never heard of it,1,NA,NA,No,0,Not interested at all,1,"Conducting psychological assessments and evaluations,",0,0,0,1,0,0,NA,NA,No,0,I have limited knowledge,2,Rarely,1,NA,NA,6,6,6,6,6,3,2,2,3,4,3,3,3,4,2,1,1,1,1,1,2,1,1,1,1,6,3,6,7,4,4,6,6,5,3,6,6,6,4,6,6,3,3,2,5,4,3,3,4,4,4,4,4,17
17M,0,mid,2,03/21/2005,20,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,Human Biology,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,3,2,3,3,2,1,2,3,2,2,3,1,1,1,1,1,1,3,4,1,6,5,5,7,3,3,6,6,5,3,6,6,4,3,6,7,2,3,3,4,3,2,3,3,2,4,2,3,17
17P,0,post,3,03/21/2005,20,Female,2,"Yes, Mexican, Mexican American, Chicano",3,1,Other,0,0,0,0,0,1,Sophmore,2,Human Biology,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,3,2,3,3,4,3,3,3,3,2,3,1,1,1,1,1,1,2,1,1,6,5,6,6,5,5,6,6,5,5,6,6,6,6,6,6,3,3,2,5,4,3,4,4,3,4,3,4,17
18,1,pre,1,10/29/2004,20.39,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Junior,3,Biology,3,I have heard of it but know very little,2,NA,NA,No,0,Not interested at all,1,"Supporting mental health in school environments, Enhancing academic achievement and learning outcomes",1,1,0,0,0,0,NA,NA,No,0,I have limited knowledge,2,Rarely,1,NA,NA,5,5,5,5,5,3,3,3,3,2,1,2,3,3,4,2,1,1,1,1,2,1,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,2,4,2,2,2,4,4,2,4,4,18
18M,1,mid,2,10/29/2004,20.39,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Junior,3,Biology,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,3,3,4,4,3,3,2,2,2,4,3,2,2,2,2,3,1,2,2,1,7,6,6,7,6,6,6,7,6,6,6,7,6,6,6,6,4,3,3,4,3,3,3,4,4,2,4,4,18
18P,1,post,3,10/29/2004,20.39,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Junior,3,Biology,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,4,4,3,4,1,1,1,4,4,4,4,2,1,1,1,2,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,4,3,3,3,4,4,2,4,4,18
19,1,pre,1,08/07/2005,19.62,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Sophmore,2,Fashion Textile Management,6,I know some general information,3,NA,NA,No,0,Not interested at all,1,"Working with children and adolescents, Supporting mental health in school environments",1,0,0,0,1,0,NA,NA,No,0,I have moderate knowledge,3,Ocassionally,2,NA,NA,5,7,5,4,5,2,3,3,4,5,4,4,5,4,4,4,4,1,4,1,3,3,4,5,4,5,5,5,7,5,5,6,6,6,5,6,7,6,5,4,6,5,4,2,3,5,3,2,5,5,1,4,4,19
19M,1,mid,2,08/07/2005,19.62,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Sophmore,2,Fashion Textile Management,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,4,6,5,3,4,4,2,4,5,5,4,5,5,4,1,4,1,3,4,5,4,4,6,6,6,7,7,7,6,7,6,5,5,7,7,6,5,7,1,3,4,4,5,4,2,1,1,3,3,3,19
19P,1,post,3,08/07/2005,19.62,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Sophmore,2,Fashion Textile Management,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,5,5,5,3,2,3,3,4,5,4,3,4,4,4,4,3,2,4,4,4,4,4,5,5,6,7,6,6,6,6,6,5,7,7,7,6,6,7,1,3,4,3,3,3,4,1,1,2,2,2,19
20,0,pre,1,05/04/2006,18.88,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,First Year Engineering,3,I have never heard of it,1,NA,NA,No,0,Not interested at all,1,"Enhancing academic achievement and learning outcomes, Developing and implementing intervention programs",0,1,1,0,0,0,NA,NA,No,0,I have limited knowledge,2,Rarely,1,NA,NA,5,6,7,6,5,4,3,4,3,5,3,3,5,5,4,5,1,2,1,1,2,1,2,2,1,6,6,5,7,7,6,7,7,7,6,7,6,7,5,6,7,4,5,3,4,3,2,5,4,4,5,4,4,20
20M,0,mid,2,05/04/2006,18.88,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,First Year Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,6,5,4,5,3,4,5,3,3,4,4,5,1,2,1,1,3,2,1,2,2,2,7,6,7,7,7,6,6,5,7,6,7,7,7,6,6,6,3,4,5,4,4,2,5,4,5,5,3,1,20
20P,0,post,3,05/04/2006,18.88,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,First Year Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,7,5,4,4,3,4,3,4,4,4,5,4,1,1,2,2,2,1,3,2,1,7,6,7,7,7,6,6,7,6,5,7,7,6,6,7,7,4,5,5,3,5,2,5,3,5,5,2,4,20
21,1,pre,1,08/06/1998,26.62,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Senior,4,Microbiology,3,I have heard of it but know very little,2,NA,NA,No,0,Not interested at all,1,"Supporting mental health in school environments, Enhancing academic achievement and learning outcomes, Developing and implementing intervention programs, Conducting psychological assessments and evaluations",1,1,1,1,0,0,NA,NA,No,0,I have limited knowledge,2,Often,3,NA,NA,5,5,5,3,7,5,5,3,4,4,3,5,5,4,4,3,1,3,2,1,1,2,4,1,2,6,5,6,7,5,7,7,6,6,6,7,7,7,4,7,7,4,5,5,5,5,5,5,5,3,5,4,4,21
21M,1,mid,2,08/06/1998,26.62,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Senior,4,Microbiology,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,2,3,4,5,2,4,4,4,5,5,4,5,4,2,2,2,1,2,2,3,1,2,6,7,6,7,5,7,7,7,7,5,7,7,5,6,7,7,3,5,5,4,5,5,5,3,4,5,3,5,21
21P,1,post,3,08/06/1998,26.62,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Senior,4,Microbiology,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
22,1,pre,1,02/25/2004,21.07,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,Social Work minor in Psychology,1,I am very knowledgable about it,NA,NA,NA,Yes,1,Slightly interested,2,"Working with children and adolescents, Supporting mental health in school environments, Enhancing academic achievement and learning outcomes",1,1,0,0,1,0,NA,NA,Yes,1,I am highly familiar and knowledgeable,4,Often,3,NA,NA,3,3,3,3,5,3,4,4,4,4,2,4,3,2,5,4,4,2,3,1,2,1,5,5,4,5,6,6,6,6,6,7,7,6,5,6,6,6,6,6,6,5,4,3,4,3,3,3,5,5,4,5,5,22
22M,1,mid,2,02/25/2004,21.07,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,Social Work minor in Psychology,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,5,5,5,5,5,2,4,4,4,4,4,3,2,4,2,3,2,4,4,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,4,2,4,4,4,3,2,4,2,4,22
22P,1,post,3,02/25/2004,21.07,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,Social Work minor in Psychology,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,6,7,4,4,4,4,4,2,4,4,4,5,4,4,2,4,2,2,2,4,5,3,6,7,5,6,7,7,6,5,6,7,6,6,7,6,6,7,2,4,2,2,2,3,2,3,2,4,4,5,22
23,1,pre,1,01/11/2006,19.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,"Human biology, minor in psychology",1,I have heard of it but know very little,2,NA,NA,No,0,Not interested at all,1,Working with children and adolescents,0,0,0,0,1,0,NA,NA,No,0,I have limited knowledge,2,Never,0,NA,NA,6,6,5,6,6,4,3,2,3,4,4,2,4,4,4,2,2,1,3,2,3,3,4,3,3,7,7,3,7,7,7,2,5,7,7,3,7,6,7,3,7,4,2,3,4,3,2,2,4,5,3,5,4,23
23M,1,mid,2,01/11/2006,19.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,"Human biology, minor in psychology",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,7,4,3,3,4,5,3,3,4,3,4,2,2,1,3,1,2,2,4,2,3,7,7,5,7,7,7,4,7,7,7,5,7,7,7,6,7,2,3,4,2,3,2,3,2,2,3,3,3,23
23P,1,post,3,01/11/2006,19.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,"Human biology, minor in psychology",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,5,4,4,3,4,3,3,3,4,4,4,4,2,1,2,1,1,2,2,2,2,7,7,5,7,6,7,4,6,7,7,6,7,7,7,5,6,4,3,3,4,3,3,3,3,4,3,4,4,23
24,1,pre,1,07/08/2004,20.7,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,Animal Science,7,I have heard of it but know very little,2,NA,NA,No,0,Not interested at all,1,Supporting mental health in school environments,1,0,0,0,0,0,NA,NA,No,0,I have limited knowledge,2,Rarely,1,NA,NA,6,6,6,5,6,4,4,4,4,4,4,4,4,4,5,2,3,1,1,1,2,1,2,3,2,6,6,7,7,5,6,6,6,7,6,7,7,7,5,7,7,4,4,4,4,4,4,2,4,4,2,5,5,24
24M,1,mid,2,07/08/2004,20.7,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,Animal Science,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,4,4,4,4,5,4,4,4,4,4,3,2,1,1,1,2,1,1,2,2,7,7,7,7,6,6,6,7,7,7,7,7,7,6,7,7,3,3,4,4,4,2,3,2,2,4,2,2,24
24P,1,post,3,07/08/2004,20.7,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Junior,3,Animal Science,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,4,4,4,4,4,4,4,5,4,4,5,2,1,1,1,1,1,3,3,1,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,4,5,4,4,4,3,4,3,4,4,24
25,1,pre,1,08/28/2005,19.56,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Finance,6,I have heard of it but know very little,2,NA,NA,Yes,1,Not interested at all,1,"Supporting mental health in school environments, Enhancing academic achievement and learning outcomes",1,1,0,0,0,0,NA,NA,No,0,I have limited knowledge,2,Ocassionally,2,NA,NA,5,6,7,5,6,4,5,4,3,2,4,4,5,3,4,4,3,2,2,1,2,1,2,2,2,7,6,4,6,3,5,6,6,5,4,7,7,7,5,6,7,2,4,2,2,2,4,4,2,4,4,4,2,25
25M,1,mid,2,08/28/2005,19.56,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Finance,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,5,5,4,5,5,4,3,4,4,4,5,3,2,2,4,1,2,3,2,5,1,7,7,6,6,5,7,5,5,6,6,2,5,6,6,6,7,3,5,4,2,5,4,5,5,2,3,2,2,25
25P,1,post,3,08/28/2005,19.56,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Finance,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,4,5,4,5,3,4,4,3,5,4,4,5,4,2,2,2,2,4,3,2,3,2,6,6,6,6,6,5,5,6,6,4,6,6,6,3,4,4,4,5,5,3,5,5,4,2,2,4,2,1,25
